name,original_height,original_width,mean_iou,pixel_accuracy,matched_pixels,total_valid_pixels,iou_trees,iou_lush_bushes,iou_dry_grass,iou_dry_bushes,iou_ground_clutter,iou_flowers,iou_logs,iou_rocks,iou_landscape,iou_sky
0000128.png,540,960,0.3478443643695696,0.6507716049382716,337360,518400,0.4860166288737717,0.0,0.4498646815460724,0.5314058719870972,0.0,0.0,,0.06318377998594801,0.6160310388198427,0.9840972781133942
0000129.png,540,960,0.34558064101120123,0.6622935956790124,343333,518400,0.47997032640949555,0.0,0.4490670322843249,0.5383012397784226,0.0,0.0,,0.03345427775148551,0.6234583876206964,0.9859745052563864
0000130.png,540,960,0.34317002864258594,0.6674807098765432,346022,518400,0.47592463363572923,0.0,0.4448799186419463,0.5393082485147147,0.0,0.0,,0.012269674066566755,0.6298877375915325,0.9862600453327839
0000131.png,540,960,0.347086060940686,0.6664621913580246,345494,518400,0.4897815362931642,0.0,0.4626527230489903,0.5362426358280602,0.0,0.0,,0.018605839338364433,0.6299496391396096,0.986542174817985
0000132.png,540,960,0.35075176181414214,0.6705459104938272,347611,518400,0.4830917874396135,0.0,0.4733082424414384,0.5452796081404163,0.0,0.0,,0.009149433396534238,0.6599732202831888,0.9859635646260879
0000133.png,540,960,0.3569785123048421,0.6701658950617284,347414,518400,0.5045742434904996,0.0,0.47361293216479194,0.5636155114328721,0.0,0.0,,0.011876224564629648,0.6746116776671119,0.9845160214236736
0000134.png,540,960,0.35508225300206386,0.6712287808641976,347965,518400,0.49361987911349897,0.0,0.46320126322667293,0.560747816148257,0.0,0.0,,0.011138206023858168,0.6842711144651514,0.9827619980411362
0000135.png,540,960,0.3506329421089871,0.651261574074074,337614,518400,0.5105946684894054,0.0,0.4675202410092261,0.5321381121817876,0.0,0.0,,0.011505090419840455,0.6504130330035726,0.9835253338770517
0000136.png,540,960,0.3380190231174797,0.6364216820987655,329921,518400,0.517388218594748,0.0,0.45899835770205843,0.4739121411276375,0.0,0.0,,0.013821043858075815,0.5953567747495058,0.9826946720252916
0000137.png,540,960,0.3311690715097471,0.6254918981481481,324255,518400,0.5579536370903277,0.0,0.4398931901200861,0.43312554430031625,0.0,0.0,,0.020311580091481363,0.5455162127544829,0.9837214792310298
0000138.png,540,960,0.3323477152451304,0.6337384259259259,328530,518400,0.5711094564408041,0.0,0.4544988464496283,0.45216724005621806,0.0,0.0,,0.02874759053831523,0.5007077287669843,0.9838985749542234
